date,commodity,price_modal
2024-01-27,Sugarcane,200.0
2024-01-30,Sugarcane,305.5
2024-01-31,Sugarcane,286.25
2024-02-14,Sugarcane,350.0
2024-02-22,Sugarcane,313.3333333333333
2024-02-26,Sugarcane,335.0
2024-02-29,Sugarcane,294.5
2024-03-12,Sugarcane,350.0
2024-03-14,Sugarcane,350.0
2024-03-18,Sugarcane,350.0
2024-03-21,Sugarcane,326.6666666666667
2024-03-22,Sugarcane,350.0
2024-03-27,Sugarcane,300.0
2024-03-29,Sugarcane,275.0
2024-03-30,Sugarcane,309.0
2024-03-31,Sugarcane,320.6666666666667
2024-04-08,Sugarcane,350.0
2024-04-19,Sugarcane,350.0
2024-04-23,Sugarcane,350.0
2024-04-24,Sugarcane,300.0
2024-04-29,Sugarcane,325.0
2024-04-30,Sugarcane,293.3333333333333
2024-05-16,Sugarcane,200.0
2024-05-20,Sugarcane,350.0
2024-05-22,Sugarcane,350.0
2024-05-23,Sugarcane,300.0
2024-05-24,Sugarcane,240.0
2024-05-30,Sugarcane,300.0
2024-05-31,Sugarcane,307.5
2024-06-13,Sugarcane,350.0
2024-06-19,Sugarcane,350.0
2024-06-25,Sugarcane,300.0
2024-06-27,Sugarcane,300.0
2024-06-30,Sugarcane,300.0
2024-07-06,Sugarcane,300.0
2024-07-07,Sugarcane,300.0
2024-07-31,Sugarcane,305.0
2024-09-30,Sugarcane,300.0
2024-11-28,Sugarcane,350.0
2024-12-05,Sugarcane,320.0
2024-12-09,Sugarcane,320.0
2024-12-11,Sugarcane,320.0
2024-12-24,Sugarcane,320.0
2024-12-31,Sugarcane,330.0
2025-01-07,Sugarcane,320.0
2025-01-28,Sugarcane,350.0
2025-01-29,Sugarcane,350.0
2025-01-30,Sugarcane,350.0
2025-01-31,Sugarcane,333.3333333333333
2025-02-18,Sugarcane,320.0
2025-02-27,Sugarcane,333.3333333333333
2025-02-28,Sugarcane,318.3333333333333
2025-03-11,Sugarcane,300.0
2025-03-18,Sugarcane,320.0
2025-03-20,Sugarcane,300.0
2025-03-22,Sugarcane,350.0
2025-03-24,Sugarcane,350.0
2025-03-26,Sugarcane,300.0
2025-03-27,Sugarcane,300.0
2025-03-28,Sugarcane,307.5
2025-03-29,Sugarcane,319.0
2025-03-31,Sugarcane,292.5
2025-04-05,Sugarcane,300.0
2025-04-08,Sugarcane,300.0
2025-04-09,Sugarcane,300.0
2025-04-16,Sugarcane,350.0
2025-04-18,Sugarcane,350.0
2025-04-20,Sugarcane,350.0
2025-04-21,Sugarcane,350.0
2025-04-22,Sugarcane,350.0
2025-04-25,Sugarcane,350.0
2025-04-30,Sugarcane,339.2857142857143
2025-05-07,Sugarcane,350.0
2025-05-08,Sugarcane,350.0
2025-05-13,Sugarcane,350.0
2025-05-14,Sugarcane,300.0
2025-05-15,Sugarcane,350.0
2025-05-16,Sugarcane,300.0
2025-05-18,Sugarcane,325.0
2025-05-19,Sugarcane,350.0
2025-05-21,Sugarcane,350.0
2025-05-22,Sugarcane,350.0
2025-05-23,Sugarcane,350.0
2025-05-24,Sugarcane,350.0
2025-05-25,Sugarcane,350.0
2025-05-26,Sugarcane,355.3333333333333
2025-05-27,Sugarcane,350.0
2025-05-28,Sugarcane,350.0
2025-05-29,Sugarcane,350.0
2025-05-30,Sugarcane,275.0
2025-05-31,Sugarcane,332.0
2025-06-13,Sugarcane,350.0
2025-06-17,Sugarcane,350.0
2025-06-19,Sugarcane,350.0
2025-06-20,Sugarcane,350.0
2025-06-25,Sugarcane,350.0
2025-06-30,Sugarcane,327.5
2025-07-29,Sugarcane,310.0
2025-07-30,Sugarcane,310.0
2025-07-31,Sugarcane,255.0
2025-08-19,Sugarcane,310.0
2025-08-20,Sugarcane,310.0
2025-08-21,Sugarcane,310.0
2025-08-22,Sugarcane,310.0
2025-08-23,Sugarcane,310.0
2025-08-25,Sugarcane,310.0
2025-08-26,Sugarcane,310.0
2025-08-27,Sugarcane,310.0
2025-08-28,Sugarcane,310.0
2025-08-30,Sugarcane,350.0
2025-08-31,Sugarcane,200.0
2025-09-16,Sugarcane,350.0
2025-09-21,Sugarcane,300.0
2025-09-22,Sugarcane,350.0
2025-09-26,Sugarcane,255.0
2025-09-30,Sugarcane,325.0
2025-10-21,Sugarcane,350.0
2025-10-22,Sugarcane,350.0
2025-10-23,Sugarcane,350.0
2025-10-24,Sugarcane,350.0
2025-10-28,Sugarcane,310.0
2025-10-29,Sugarcane,350.0
2025-10-30,Sugarcane,351.6666666666667
