month,commodity,price_modal
2024-08-01,Banana - Green,3036.6861690449223
2024-09-01,Banana - Green,3081.786431402957
2024-10-01,Banana - Green,3073.5420165824044
2024-11-01,Banana - Green,3225.7989960553223
2024-12-01,Banana - Green,2964.6494088045006
2025-01-01,Banana - Green,3052.379502111261
2025-02-01,Banana - Green,3100.872914842665
2025-03-01,Banana - Green,3080.91652045708
2025-04-01,Banana - Green,3054.1483004911915
2025-05-01,Banana - Green,3087.7305818393997
2025-06-01,Banana - Green,3165.4504359579346
2025-07-01,Banana - Green,3219.4645201986013
2025-08-01,Banana - Green,3239.4355513728046
2025-09-01,Banana - Green,3193.2249173149376
2025-10-01,Banana - Green,3203.8997607959454
